,Forecasted_Price
1498,1689.3285802653738
1499,1689.0271592574102
1500,1688.7257382494467
1501,1688.4243172414833
1502,1688.1228962335197
1503,1687.8214752255562
1504,1687.5200542175928
1505,1687.2186332096292
1506,1686.9172122016657
1507,1686.6157911937023
1508,1686.3143701857387
1509,1686.0129491777752
1510,1685.7115281698118
1511,1685.4101071618481
1512,1685.1086861538847
1513,1684.8072651459213
1514,1684.5058441379576
1515,1684.2044231299942
1516,1683.9030021220308
1517,1683.6015811140674
1518,1683.3001601061037
1519,1682.9987390981403
1520,1682.6973180901769
1521,1682.3958970822132
1522,1682.0944760742498
1523,1681.7930550662863
1524,1681.4916340583227
1525,1681.1902130503593
1526,1680.8887920423958
1527,1680.5873710344322
